title,date,path,length
Laoq 4,2000-10-01,Laoq 4.mp3
Laoq 5,2000-10-01,Laoq 5.mp3
Laoq 6,2000-10-01,Laoq 6.mp3
Laoq 7,2000-10-01,Laoq 7.mp3
Doom Melody,2015,Doom Melody.mp3
Instrumental #1,1999-2001,01 - Instrumental%231.mp3
1st track,1999-2001,1st track.mp3
Instrumental #2,1999-2001,02 - Instrumental%232.mp3
Instrumental #3,1999-2001,03 - Instrumental%233.mp3
Evil G# Diminished song,1999-2001,04 - Evil G%23 Diminished song.mp3
Yngwie Malmsteen Leather Pants Tribute Song,1999-2001,05 - The Yngwie-Malmsteen-Leather-Pants-Tribute Song.mp3
Blues Before Sunrise,1999-2001,06 - Blues before Sunrise.mp3
"Dark City, The Sorrow of Jeffrey Smart",1999-2001,"07 - Dark City, The Sorrow of Jeffrey Smart.mp3"
Ghost (The Lifecycle Of),1999-2001,08 - Ghost (the lifecycle of).mp3
Golliwogg's Cakewalk,1999-2001,09 - Golliwogg's Cakewalk (arrangement).mp3
Country,1999-2001,10 - Country.mp3
High (arrangements),1999-2001,11 - High (arrangement).mp3
Rachmaninov (inspired by),1999-2001,12 - Rachmaninov (inspired by).mp3
Song in the key of Steve Vai,1999-2001,13 - Song in the key of Steve Vai.mp3
The River Wild,1999-2001,14 - The River Wild.mp3
Big Rock Song,1999-2001,big rock song.mp3
Completely Gay Tune,1999-2001,completely gay tune.mp3
Crazy,1999-2001,Crazy.mp3
Heavy Orchestra,1999-2001,Heavy Orchestra.mp3
Keytar,1999-2001,keytar.mp3
Neo-Savage,1999-2001,NeoSavage.mp3
New2,1999-2001,new2.mp3
Reggae,1999-2001,Reggae.mp3
Rock! oh yyeaaahhh!!!!!!,1999-2001,Rock! oh yyyeaaahhh!!!!!!.mp3

Insert Name Here,1998-2001,01 - Insert Name Here.mp3
March of the Perfect 5th's,1998-2001,02 - March of the Perfect 5th's.mp3
Call of the Wild (not Ktulu),1998-2001,03 - Call of the Wild (not Ktulu).mp3
Revenge of the Giant-Killer-Vampire-Bass-Player,1998-2001,04 - Revenge of the Giant-Killer-Vampire-Bass-Player.mp3
Eclectic and downright Confusing,1998-2001,05 - Eclectic and downright Confusing.mp3
Nirvana blown-up,1998-2001,06 - Nirvana blown-up.mp3
Phucked up Phantom,1998-2001,07 - Phucked up Phantom.mp3
It may be Heavy Shit but it's still Shit,1998-2001,08 - ''It may be Heavy Shit but it's still Shit''.mp3
GroOvY!,1998-2001,09 - GroOvY!.XM
Twisted (totally) Tonally!,1998-2001,10 - Twisted (totally) Tonally!.mp3
E is my favourite letter,1998-2001,11 - E is my favourite letter.mp3
Fighting the Pain (with the Brodsky string quartet),1998-2001,12 - Fighting the Pain (with the Brodsky string quartet).mp3
Transcend (out of tune guitar mix),1998-2001,13 - Transcend (out of tune guitar mix).mp3
Final Darkness,1998-2001,14 - Final Darkness.mp3
Banana Boat Man (arrangement),1998-2001,15 - Banana Boat Man (arrangement).mp3
Banana Boat Man (psycho Jamaican mix),1998-2001,16 - Banana Boat Man (psycho Jamaican mix).mp3
''I like all music'' (if it's heavy),1998-2001,17 - ''I like all music'' (if it's heavy) .mp3
A Trilogy of War,1998-2001,18 - A Trilogy of War.mp3
Musicality, I've discovered,1998-2001,19 - Musicality, I've discovered.mp3
Some Scary Name...,1998-2001,20 - Some Scary Name....mp3
Teenage angst and rebellion in 2min 31sec,1998-2001,21 - Teenage angst and rebellion in 2min 31sec.mp3
The parable of the Gorefest's only love song,1998-2001,22 - The parable of the Gorefest's only love song.mp3
Eat my Pretentious Rock-Riff!,1998-2001,23 - Eat my Pretentious Rock-Riff!.mp3
Please Sir, may I have another (guitar solo),1998-2001,24 - Please Sir, may I have another (guitar solo).mp3
25 - Spasmodic (an ode to Steven Schneider),1998-2001,25 - Spasmodic (an ode to Steven Schneider).mp3
Reprise of the Psycho Jamaican,1998-2001,26 - Reprise of the Psycho Jamaican.mp3
Drunk & Confused,1998-2001,27 - Drunk & Confused.mp3
The Heaviest 3 Minutes of your Life (live in Belfast),1998-2001,28 - The Heaviest 3 Minutes of your Life (live in Belfast).mp3
Unfinished fkn hardcore jam,1998-2001,29 - Unfinished fkn hardcore jam.mp3
Catchy Hook for the Masses,1998-2001,30 - Catchy Hook for the Masses.mp3
Chordal Death,1998-2001,31 - Chordal Death.mp3
I Shit Mindless Guitar Riffs,1998-2001,32 - I Shit Mindless Guitar Riffs.mp3
